,id,name,profession,age,age_group,medical_risk,registration time,deadline,address,phone,wechat,email,birthday,hospital priority
0,812550663,Finbar,5,67,6,0,2022 1 1 0 44 57,-1,Valiant,14507579284,Gresham,Prunella@zju.edu.cn,1954/6/23,3 1 2
1,879460269,Trina,6,37,4,1,2022 1 2 7 35 43,-1,Genevieve,14564365290,Elise,Timothea@zju.edu.cn,1984/2/1,1 3 2
2,781325733,Margot,2,1,1,3,2022 1 2 9 39 25,-1,Peyton,16633294582,Renee,White@zju.edu.cn,2020/5/29,3 2 1
3,721441924,Harold,5,11,1,3,2022 1 2 24 39 57,-1,Rupert,13835937701,Yvette,Karena@zju.edu.cn,2010/5/15,2 3 1
4,171912996,Farley,4,59,5,3,2022 1 3 2 2 20,-1,Eagle-Eyed,15767525328,Montague,Paxton@zju.edu.cn,1962/2/24,2 1 3
5,608578421,Melissa,7,14,2,0,2022 1 3 5 8 58,2022/1/10,Fergal,18109435403,Tilda,Doyle@zju.edu.cn,2007/9/28,1 3 2
6,169428525,Well-Born,3,21,3,0,2022 1 3 12 50 0,-1,Sunshine,13457922056,Quinby,Dirk@zju.edu.cn,2000/12/12,3 2 1
7,156982783,Angela,5,10,1,3,2022 1 3 14 18 39,-1,Questa,15123102961,Vincent,Trixie@zju.edu.cn,2011/6/16,1 3 2
8,559575346,Harmony,7,18,2,2,2022 1 3 18 18 8,-1,Jocelyn,18585276447,Megan,Lowell@zju.edu.cn,2003/12/2,2 1 3
9,167306220,Kacey,6,10,1,0,2022 1 3 20 39 31,-1,Heroine,17501928306,Veleda,Gifted@zju.edu.cn,2011/10/9,1 2 3
10,465298198,Winona,1,68,6,0,2022 1 3 22 37 0,-1,Quentin,14625492647,Constant,Whitney@zju.edu.cn,1953/10/20,1 2 3
11,569563199,Dwayne,2,44,4,1,2022 1 4 0 59 56,-1,Maureen,18116073729,Ives,Wolf@zju.edu.cn,1977/6/20,3 1 2
12,223380685,Strong,8,56,5,1,2022 1 4 2 25 14,-1,Regal,15728001018,Beatrice,Kirby@zju.edu.cn,1965/5/18,3 2 1
13,455184449,Ernest,2,15,2,3,2022 1 4 2 51 18,-1,Simona,15050181204,Shamus,Martina@zju.edu.cn,2006/1/11,2 3 1
14,132765034,Renata,4,58,5,1,2022 1 4 8 53 8,-1,Ely,18829586104,Glenn,Morris@zju.edu.cn,1963/4/7,2 1 3
15,845053427,Landry,2,6,1,1,2022 1 4 15 38 7,-1,Lars,15943786409,Praised,Healthy@zju.edu.cn,2015/8/14,1 3 2
16,829102779,Jeffrey,7,3,1,3,2022 1 4 16 38 21,2022/1/15,Judy,18443088886,Serpent,Searcher@zju.edu.cn,2018/10/20,1 3 2
17,362912201,Lulu,1,55,5,3,2022 1 4 21 13 17,-1,Julie,18912578849,Tanya,Max@zju.edu.cn,1966/7/26,2 3 1
18,750298415,Eliot,1,69,6,2,2022 1 4 24 54 10,-1,Quinn,18928216482,Andrea,Kenyon@zju.edu.cn,1952/10/26,1 3 2
19,644312930,Valiant,4,48,4,3,2022 1 5 1 41 17,-1,Noel,13823592934,Tower,Dominica@zju.edu.cn,1973/7/27,1 3 2
20,454246907,Randolph,2,75,6,2,2022 1 5 3 28 50,-1,Keene,17088869376,Darian,Solitary@zju.edu.cn,1946/4/7,3 2 1
21,646180186,Quincy,8,44,4,2,2022 1 5 3 37 44,-1,Marilyn,14627277044,Page,Seth@zju.edu.cn,1977/11/22,1 2 3
22,106646835,Lloyd,4,58,5,2,2022 1 5 8 33 34,-1,Bird,15765293015,Katrina,Royal@zju.edu.cn,1963/8/26,3 1 2
23,322220507,Daley,3,20,3,1,2022 1 5 11 40 32,-1,Gifford,15039487521,Rhoda,Harley@zju.edu.cn,2001/5/7,2 3 1
24,475993312,Tasha,4,66,6,1,2022 1 5 24 6 31,-1,Helen,15683498403,Derek,Heathcliff@zju.edu.cn,1955/2/2,3 1 2
25,399839812,John,5,41,4,3,2022 1 6 2 21 43,-1,Shirley,18778737233,Leroy,Gaiety@zju.edu.cn,1980/2/18,2 1 3
26,498495101,Joe,7,49,4,0,2022 1 6 7 16 22,-1,Philip,13431456182,Edlyn,Pamela@zju.edu.cn,1972/4/12,2 3 1
27,446421368,Dalton,1,32,3,0,2022 1 6 10 16 27,-1,Fannie,13077765528,Dwight,Joan@zju.edu.cn,1989/5/25,3 2 1
28,981312930,Tanya,8,16,2,2,2022 1 6 11 38 51,-1,Ferris,15984317276,Mavis,Felix@zju.edu.cn,2005/4/25,3 2 1
29,847401495,Geraldine,2,24,3,0,2022 1 6 14 15 7,-1,Derwin,18710187247,Daniel,Harris@zju.edu.cn,1997/10/3,2 1 3
30,835670159,Timekeeper,4,68,6,1,2022 1 6 14 36 4,2022/1/8,Laurel,18471894989,Shawn,Gresham@zju.edu.cn,1953/12/4,3 1 2
31,407588859,Graceful,4,75,6,3,2022 1 6 19 34 33,-1,Ebenezer,17096252490,Sally,Elise@zju.edu.cn,1946/2/3,3 2 1
32,493868019,Maura,6,49,4,3,2022 1 7 6 7 17,-1,Amaryllis,18226007785,Rosanne,Owner@zju.edu.cn,1972/6/9,2 1 3
33,574136401,Nora,7,37,4,2,2022 1 7 6 27 49,-1,Halden,15927676000,Wealthy,Norine@zju.edu.cn,1984/7/23,1 2 3
34,277261853,Marcia,8,47,4,3,2022 1 7 7 53 52,-1,Salt,15723342296,Helen,Daniel@zju.edu.cn,1974/6/23,3 2 1
35,545726405,Beth,3,71,6,1,2022 1 7 13 52 32,-1,Sapphire,19156707898,Roderick,Nell@zju.edu.cn,1950/5/13,3 1 2
36,412466262,Diana,7,14,2,1,2022 1 7 20 59 4,-1,Tabitha,19818653071,Eve,Jerome@zju.edu.cn,2007/3/11,3 1 2
37,107350472,Shamus,4,69,6,0,2022 1 8 6 58 28,-1,Lee,13549127193,Female,Ursula@zju.edu.cn,1952/8/22,3 2 1
38,332071251,Laura,5,32,3,3,2022 1 8 7 18 21,-1,Ethen,17554433345,Hugo,Winston@zju.edu.cn,1989/12/1,2 3 1
39,259195008,Quentin,4,27,3,3,2022 1 8 7 49 21,-1,Hamlin,18602848413,Kathleen,Dean@zju.edu.cn,1994/12/25,3 1 2
40,639385178,Dylan,1,47,4,0,2022 1 8 9 19 53,-1,Michael,13576084135,Regal,Landon@zju.edu.cn,1974/4/4,3 1 2
41,878190352,Zebediah,2,53,5,2,2022 1 8 19 37 26,-1,Bernice,17698848975,Timothy,Shabi@zju.edu.cn,1968/10/25,1 3 2
42,580883331,Princess,6,79,7,1,2022 1 8 21 0 24,-1,Erin,19894352104,a,Princess@zju.edu.cn,1942/2/15,2 3 1
43,935695257,Logan,8,52,5,1,2022 1 8 22 9 40,-1,Pearl,17693176158,Questa,Logan@zju.edu.cn,1969/10/3,3 2 1
44,645235160,Blueberry,2,64,5,1,2022 1 8 22 53 55,-1,Mighty,13476754909,Solomon,Blueberry@zju.edu.cn,1957/10/2,2 3 1
45,183860342,Helen,2,32,3,2,2022 1 9 9 59 17,-1,Blooming,15168253706,Grant,Helen@zju.edu.cn,1989/11/2,1 2 3
46,487842317,Imogene,3,67,6,1,2022 1 9 16 36 5,-1,Halbert,15294039107,Hope,Imogene@zju.edu.cn,1954/5/12,2 1 3
47,427988439,Beloved,3,56,5,1,2022 1 10 0 54 14,-1,Felicia,15261252310,Maia,Beloved@zju.edu.cn,1965/7/13,1 2 3
