,id,name,profession,age,age_group,medical_risk,registration time,deadline,address,phone,wechat,email,birthday,hospital priority,treatment
0,780783087,Princess,1,64,5,0,2022 1 1 0 44 57,-1,Valiant,17253321563,Gresham,Prunella@zju.edu.cn,1957/10/31,2 1 3,0
1,810557172,Mona,6,65,5,1,2022 1 2 7 35 43,-1,Genevieve,18754087265,Elise,Timothea@zju.edu.cn,1956/2/24,2 1 3,0
2,678735822,Dwayne,4,80,7,3,2022 1 2 9 39 25,-1,Peyton,15539213394,Renee,White@zju.edu.cn,1941/9/12,3 2 1,2
3,593229127,Falkner,3,1,1,0,2022 1 2 24 39 57,-1,Rupert,18121574860,Yvette,Karena@zju.edu.cn,2020/5/19,3 2 1,2
4,984398021,Divine,1,71,6,2,2022 1 3 2 2 20,-1,Eagle-Eyed,19824435102,Montague,Paxton@zju.edu.cn,1950/11/10,1 2 3,2
5,627563361,Peyton,7,78,7,2,2022 1 3 5 8 58,2022/1/10,Fergal,13225995366,Tilda,Doyle@zju.edu.cn,1943/7/17,3 1 2,2
6,799476196,Moira,5,71,6,0,2022 1 3 12 50 0,-1,Sunshine,17576673763,Quinby,Dirk@zju.edu.cn,1950/3/11,3 2 1,2
7,220256632,Sorrowful,8,7,1,1,2022 1 3 14 18 39,-1,Questa,18185587672,Vincent,Trixie@zju.edu.cn,2014/3/26,3 2 1,1
8,136907797,Island,7,35,3,1,2022 1 3 18 18 8,-1,Jocelyn,14607551905,Megan,Lowell@zju.edu.cn,1986/2/26,2 3 1,0
9,152692732,Delightful,6,63,5,1,2022 1 3 20 39 31,-1,Heroine,17657069268,Veleda,Gifted@zju.edu.cn,1958/11/7,2 3 1,1
10,277483964,Handmaiden,2,63,5,0,2022 1 3 22 37 0,-1,Quentin,17548104219,Constant,Whitney@zju.edu.cn,1958/1/26,3 1 2,1
11,605810013,Glynnis,8,49,4,0,2022 1 4 0 59 56,-1,Maureen,13246113616,Ives,Wolf@zju.edu.cn,1972/4/5,2 3 1,0
12,151463926,Marilyn,2,57,5,1,2022 1 4 2 25 14,-1,Regal,13320693544,Beatrice,Kirby@zju.edu.cn,1964/5/1,1 2 3,1
13,205682212,Katrina,2,31,3,0,2022 1 4 2 51 18,-1,Simona,13151673886,Shamus,Martina@zju.edu.cn,1990/11/9,2 1 3,0
14,506070499,Wide,1,74,6,1,2022 1 4 8 53 8,-1,Ely,17252759365,Glenn,Morris@zju.edu.cn,1947/1/28,3 1 2,1
15,984255761,Murray,4,78,7,1,2022 1 4 15 38 7,-1,Lars,15894408493,Praised,Healthy@zju.edu.cn,1943/4/28,3 2 1,2
16,435074137,Eagle-Eyed,7,33,3,2,2022 1 4 16 38 21,2022/1/15,Judy,13342877395,Serpent,Searcher@zju.edu.cn,1988/6/22,3 1 2,2
17,100793610,Juliet,5,23,3,0,2022 1 4 21 13 17,-1,Julie,13192849060,Tanya,Max@zju.edu.cn,1998/6/3,1 3 2,0
18,695731192,Quenby,4,48,4,1,2022 1 4 24 54 10,-1,Quinn,17739781257,Andrea,Kenyon@zju.edu.cn,1973/1/22,1 2 3,0
19,857218403,Gwynne,3,10,1,2,2022 1 5 1 41 17,-1,Noel,13712593845,Tower,Dominica@zju.edu.cn,2011/7/30,2 3 1,2
20,268557472,Vivian,3,54,5,0,2022 1 5 3 28 50,-1,Keene,18213237804,Darian,Solitary@zju.edu.cn,1967/3/4,1 3 2,1
21,133995179,Doris,6,8,1,1,2022 1 5 3 37 44,-1,Marilyn,15849655167,Page,Seth@zju.edu.cn,2013/12/9,1 2 3,1
22,173108062,Kerwin,1,52,5,2,2022 1 5 8 33 34,-1,Bird,18644757370,Katrina,Royal@zju.edu.cn,1969/3/26,1 2 3,1
23,372171678,Morris,7,52,5,0,2022 1 5 11 40 32,-1,Gifford,15095727302,Rhoda,Harley@zju.edu.cn,1969/12/21,3 2 1,1
24,734426098,Oliver,2,39,4,2,2022 1 5 24 6 31,-1,Helen,17532781127,Derek,Heathcliff@zju.edu.cn,1982/7/30,3 2 1,0
25,779733263,Nerissa,2,15,2,1,2022 1 6 2 21 43,-1,Shirley,17346122243,Leroy,Gaiety@zju.edu.cn,2006/12/10,2 3 1,2
26,655675232,Winthrop,5,55,5,3,2022 1 6 7 16 22,-1,Philip,15073667112,Edlyn,Pamela@zju.edu.cn,1966/10/30,1 3 2,1
27,916779219,Beatrix,2,28,3,1,2022 1 6 10 16 27,-1,Fannie,17605716610,Dwight,Joan@zju.edu.cn,1993/4/17,3 2 1,2
28,592186934,Thelma,2,11,1,0,2022 1 6 11 38 51,-1,Ferris,18168233729,Mavis,Felix@zju.edu.cn,2010/3/26,1 3 2,2
29,970505979,Holly,3,39,4,3,2022 1 6 14 15 7,-1,Derwin,17301955350,Daniel,Harris@zju.edu.cn,1982/9/6,1 2 3,0
30,501071192,Veleda,1,36,4,0,2022 1 6 14 36 4,2022/1/8,Laurel,16674398032,Shawn,Gresham@zju.edu.cn,1985/12/28,1 3 2,1
31,932064612,Stan,8,22,3,2,2022 1 6 19 34 33,-1,Ebenezer,13710374261,Sally,Elise@zju.edu.cn,1999/5/3,1 2 3,0
32,202456545,Powerful,6,43,4,0,2022 1 7 6 7 17,-1,Amaryllis,13836113758,Rosanne,Owner@zju.edu.cn,1978/4/26,2 1 3,0
33,309963221,Hayley,8,22,3,0,2022 1 7 6 27 49,-1,Halden,17031555365,Wealthy,Norine@zju.edu.cn,1999/8/24,3 2 1,2
34,688572883,Luke,7,73,6,3,2022 1 7 7 53 52,-1,Salt,17812134210,Helen,Daniel@zju.edu.cn,1948/9/26,3 2 1,1
35,402691118,Bethany,2,35,3,2,2022 1 7 13 52 32,-1,Sapphire,19942237459,Roderick,Nell@zju.edu.cn,1986/12/18,1 3 2,0
36,338929326,Derek,8,3,1,2,2022 1 7 20 59 4,-1,Tabitha,19814667347,Eve,Jerome@zju.edu.cn,2018/3/5,2 1 3,0
37,165326676,Bianca,7,60,5,2,2022 1 8 6 58 28,-1,Lee,17182306892,Female,Ursula@zju.edu.cn,1961/10/23,2 1 3,2
38,785747349,Travers,5,52,5,3,2022 1 8 7 18 21,-1,Ethen,18332673758,Hugo,Winston@zju.edu.cn,1969/7/16,1 3 2,2
39,779541146,Eleanor,6,34,3,0,2022 1 8 7 49 21,-1,Hamlin,19105539071,Kathleen,Dean@zju.edu.cn,1987/3/6,1 2 3,2
